invoice_id,customer_id,customer_name,invoice_date,due_date,payment_terms,invoice_amount,open_balance,dispute_flag,dispute_reason
INV-10001,C001,Cascade Industrial Group,2026-03-30,2026-05-29,Net 60,46350,46350,N,
INV-10002,C001,Cascade Industrial Group,2026-03-29,2026-05-28,Net 60,67350,67350,N,
INV-10003,C001,Cascade Industrial Group,2026-03-19,2026-05-18,Net 60,81740,81740,N,
INV-10004,C002,Northwind Manufacturing,2026-05-09,2026-06-23,Net 45,62980,62980,N,
INV-10005,C002,Northwind Manufacturing,2026-04-24,2026-06-08,Net 45,67780,67780,N,
INV-10006,C002,Northwind Manufacturing,2026-04-11,2026-05-26,Net 45,48750,48750,N,
INV-10007,C002,Northwind Manufacturing,2026-04-02,2026-05-17,Net 45,32280,32280,N,
INV-10008,C002,Northwind Manufacturing,2026-03-26,2026-05-10,Net 45,61900,61900,N,
INV-10009,C003,Sterling Components Corp,2026-05-08,2026-06-22,Net 45,15980,15980,N,
INV-10010,C003,Sterling Components Corp,2026-04-26,2026-06-10,Net 45,21410,21410,N,
INV-10011,C003,Sterling Components Corp,2026-04-20,2026-06-04,Net 45,23430,23430,N,
INV-10012,C003,Sterling Components Corp,2026-04-14,2026-05-29,Net 45,19270,19270,N,
INV-10013,C003,Sterling Components Corp,2026-04-03,2026-05-18,Net 45,24810,24810,N,
INV-10014,C003,Sterling Components Corp,2026-03-27,2026-05-11,Net 45,11200,11200,N,
INV-10015,C004,Pacifica Materials Co,2026-04-07,2026-06-06,Net 60,57080,57080,N,
INV-10016,C004,Pacifica Materials Co,2026-03-07,2026-05-06,Net 60,85470,85470,N,
INV-10017,C004,Pacifica Materials Co,2026-03-05,2026-05-04,Net 60,31550,31550,N,
INV-10018,C004,Pacifica Materials Co,2026-03-03,2026-05-02,Net 60,58110,58110,N,
INV-10019,C004,Pacifica Materials Co,2026-02-28,2026-04-29,Net 60,41300,41300,N,
INV-10020,C004,Pacifica Materials Co,2026-02-17,2026-04-18,Net 60,34590,34590,N,
INV-10021,C005,Granite Peak Industries,2026-05-10,2026-07-09,Net 60,28290,28290,N,
INV-10022,C005,Granite Peak Industries,2026-05-04,2026-07-03,Net 60,73760,73760,N,
INV-10023,C005,Granite Peak Industries,2026-04-11,2026-06-10,Net 60,80320,80320,N,
INV-10024,C005,Granite Peak Industries,2026-03-20,2026-05-19,Net 60,45300,45300,N,
INV-10025,C006,Birch & Hollow Supply,2026-05-11,2026-06-10,Net 30,18340,18340,N,
INV-10026,C006,Birch & Hollow Supply,2026-04-03,2026-05-03,Net 30,10060,10060,N,
INV-10027,C007,Cedar Valley Distribution,2026-04-16,2026-05-16,Net 30,23230,23230,N,
INV-10028,C007,Cedar Valley Distribution,2026-04-06,2026-05-06,Net 30,25510,25510,N,
INV-10029,C007,Cedar Valley Distribution,2026-03-30,2026-04-29,Net 30,14840,14840,N,
INV-10030,C008,Riverstone Packaging,2026-04-22,2026-05-22,Net 30,13790,13790,N,
INV-10031,C008,Riverstone Packaging,2026-03-27,2026-04-26,Net 30,13260,13260,N,
INV-10032,C009,Halcyon Tool Works,2026-04-20,2026-06-04,Net 45,5200,5200,N,
INV-10033,C009,Halcyon Tool Works,2026-04-07,2026-05-22,Net 45,5650,2590,Y,Awaiting credit memo
INV-10034,C009,Halcyon Tool Works,2026-03-14,2026-04-28,Net 45,4580,4580,N,
INV-10035,C009,Halcyon Tool Works,2026-03-13,2026-04-27,Net 45,7610,7610,N,
INV-10036,C009,Halcyon Tool Works,2026-03-12,2026-04-26,Net 45,8120,8120,Y,Missing PO number on invoice
INV-10037,C010,Brightline Logistics,2026-04-27,2026-05-27,Net 30,26180,26180,N,
INV-10038,C010,Brightline Logistics,2026-04-09,2026-05-09,Net 30,57700,57700,N,
INV-10039,C011,Copperfield Equipment,2026-04-18,2026-05-18,Net 30,29850,29850,N,
INV-10040,C011,Copperfield Equipment,2026-03-29,2026-04-28,Net 30,12810,12810,N,
INV-10041,C012,Aspen Grove Products,2026-05-06,2026-06-05,Net 30,12430,12430,N,
INV-10042,C012,Aspen Grove Products,2026-04-10,2026-05-10,Net 30,17450,17450,N,
INV-10043,C012,Aspen Grove Products,2026-03-30,2026-04-29,Net 30,9950,9950,N,
