invoice_id,customer_id,customer_name,invoice_date,due_date,payment_terms,invoice_amount,open_balance,dispute_flag,dispute_reason
INV-10001,C001,Cascade Industrial Group,2026-05-03,2026-07-02,Net 60,90610,90610,N,
INV-10002,C001,Cascade Industrial Group,2026-04-30,2026-06-29,Net 60,54130,54130,N,
INV-10003,C001,Cascade Industrial Group,2026-04-09,2026-06-08,Net 60,68870,68870,N,
INV-10004,C001,Cascade Industrial Group,2026-04-06,2026-06-05,Net 60,41760,41760,N,
INV-10005,C001,Cascade Industrial Group,2026-03-29,2026-05-28,Net 60,55360,55360,N,
INV-10006,C001,Cascade Industrial Group,2026-03-25,2026-05-24,Net 60,47380,47380,N,
INV-10007,C002,Northwind Manufacturing,2026-05-11,2026-07-10,Net 60,99270,99270,N,
INV-10008,C002,Northwind Manufacturing,2026-05-04,2026-07-03,Net 60,52770,52770,N,
INV-10009,C002,Northwind Manufacturing,2026-03-31,2026-05-30,Net 60,40730,40730,N,
INV-10010,C002,Northwind Manufacturing,2026-03-27,2026-05-26,Net 60,49690,49690,N,
INV-10011,C002,Northwind Manufacturing,2026-03-19,2026-05-18,Net 60,111210,111210,N,
INV-10012,C003,Sterling Components Corp,2026-05-03,2026-06-17,Net 45,82330,82330,N,
INV-10013,C003,Sterling Components Corp,2026-05-03,2026-06-17,Net 45,45770,45770,N,
INV-10014,C003,Sterling Components Corp,2026-04-29,2026-06-13,Net 45,45360,45360,N,
INV-10015,C003,Sterling Components Corp,2026-04-22,2026-06-06,Net 45,72650,72650,N,
INV-10016,C003,Sterling Components Corp,2026-04-09,2026-05-24,Net 45,53920,53920,N,
INV-10017,C003,Sterling Components Corp,2026-03-25,2026-05-09,Net 45,73280,73280,N,
INV-10018,C004,Pacifica Materials Co,2026-05-06,2026-07-05,Net 60,185910,185910,N,
INV-10019,C004,Pacifica Materials Co,2026-04-27,2026-06-26,Net 60,141390,141390,N,
