invoice_id,customer_id,customer_name,invoice_date,due_date,payment_terms,invoice_amount,open_balance,dispute_flag,dispute_reason
INV-10001,C001,Cascade Industrial Group,2026-04-18,2026-06-17,Net 60,699180,699180,N,
INV-10002,C001,Cascade Industrial Group,2026-03-31,2026-05-30,Net 60,506510,506510,N,
INV-10003,C001,Cascade Industrial Group,2026-03-23,2026-05-22,Net 60,564110,564110,N,
INV-10004,C001,Cascade Industrial Group,2026-02-26,2026-04-27,Net 60,500380,500380,N,
INV-10005,C001,Cascade Industrial Group,2026-02-23,2026-04-24,Net 60,535340,535340,N,
INV-10006,C001,Cascade Industrial Group,2026-02-18,2026-04-19,Net 60,231220,231220,N,
INV-10007,C002,Northwind Manufacturing,2026-04-18,2026-06-17,Net 60,842020,842020,N,
INV-10008,C002,Northwind Manufacturing,2026-03-09,2026-05-08,Net 60,963610,963610,N,
INV-10009,C002,Northwind Manufacturing,2026-03-09,2026-05-08,Net 60,1071560,1071560,N,
INV-10010,C003,Sterling Components Corp,2026-04-23,2026-06-22,Net 60,838380,838380,N,
INV-10011,C003,Sterling Components Corp,2026-03-08,2026-05-07,Net 60,523710,523710,N,
INV-10012,C003,Sterling Components Corp,2026-02-23,2026-04-24,Net 60,922020,922020,N,
INV-10013,C004,Pacifica Materials Co,2026-05-03,2026-06-17,Net 45,196180,196180,N,
INV-10014,C004,Pacifica Materials Co,2026-04-19,2026-06-03,Net 45,256220,256220,N,
INV-10015,C004,Pacifica Materials Co,2026-04-17,2026-06-01,Net 45,254810,254810,N,
INV-10016,C004,Pacifica Materials Co,2026-04-12,2026-05-27,Net 45,247880,247880,N,
INV-10017,C004,Pacifica Materials Co,2026-03-14,2026-04-28,Net 45,306760,306760,N,
INV-10018,C005,Granite Peak Industries,2026-04-25,2026-06-24,Net 60,717820,717820,N,
INV-10019,C005,Granite Peak Industries,2026-04-10,2026-06-09,Net 60,470890,470890,N,
INV-10020,C005,Granite Peak Industries,2026-03-31,2026-05-30,Net 60,293610,293610,N,
INV-10021,C005,Granite Peak Industries,2026-03-27,2026-05-26,Net 60,729740,729740,N,
INV-10022,C005,Granite Peak Industries,2026-03-05,2026-05-04,Net 60,330870,330870,N,
INV-10023,C005,Granite Peak Industries,2026-03-03,2026-05-02,Net 60,408730,408730,N,
INV-10024,C006,Birch & Hollow Supply,2026-05-10,2026-06-09,Net 30,110860,110860,N,
INV-10025,C006,Birch & Hollow Supply,2026-04-22,2026-05-22,Net 30,102970,102970,N,
INV-10026,C006,Birch & Hollow Supply,2026-04-22,2026-05-22,Net 30,52610,52610,N,
INV-10027,C006,Birch & Hollow Supply,2026-04-01,2026-05-01,Net 30,59070,59070,N,
INV-10028,C007,Cedar Valley Distribution,2026-04-23,2026-05-23,Net 30,242350,242350,N,
INV-10029,C007,Cedar Valley Distribution,2026-04-13,2026-05-13,Net 30,112580,112580,Y,Awaiting credit memo
INV-10030,C008,Riverstone Packaging,2026-04-18,2026-06-02,Net 45,156040,156040,N,
INV-10031,C008,Riverstone Packaging,2026-04-02,2026-05-17,Net 45,202840,202840,N,
INV-10032,C009,Halcyon Tool Works,2026-05-09,2026-06-23,Net 45,85650,85650,N,
INV-10033,C009,Halcyon Tool Works,2026-04-23,2026-06-07,Net 45,78440,78440,N,
INV-10034,C009,Halcyon Tool Works,2026-03-19,2026-05-03,Net 45,159580,159580,N,
INV-10035,C009,Halcyon Tool Works,2026-03-15,2026-04-29,Net 45,185200,185200,N,
INV-10036,C010,Brightline Logistics,2026-05-07,2026-06-21,Net 45,84320,84320,N,
INV-10037,C010,Brightline Logistics,2026-03-24,2026-05-08,Net 45,156860,156860,N,
INV-10038,C010,Brightline Logistics,2026-03-10,2026-04-24,Net 45,169700,169700,N,
INV-10039,C011,Copperfield Equipment,2026-04-23,2026-06-07,Net 45,385210,385210,N,
INV-10040,C011,Copperfield Equipment,2026-04-01,2026-05-16,Net 45,299050,299050,N,
INV-10041,C012,Aspen Grove Products,2026-05-12,2026-06-11,Net 30,121070,121070,N,
INV-10042,C012,Aspen Grove Products,2026-04-26,2026-05-26,Net 30,101550,101550,N,
INV-10043,C012,Aspen Grove Products,2026-04-16,2026-05-16,Net 30,89540,89540,N,
INV-10044,C012,Aspen Grove Products,2026-04-14,2026-05-14,Net 30,159430,159430,N,
INV-10045,C012,Aspen Grove Products,2026-03-25,2026-04-24,Net 30,114960,114960,N,
INV-10046,C013,Tidewater Fabrication,2026-04-12,2026-05-27,Net 45,168900,168900,N,
INV-10047,C013,Tidewater Fabrication,2026-03-17,2026-05-01,Net 45,178400,178400,N,
INV-10048,C013,Tidewater Fabrication,2026-03-15,2026-04-29,Net 45,100640,100640,Y,Quantity mismatch on receipt
INV-10049,C014,Maple Ridge Hardware,2026-05-02,2026-06-01,Net 30,193970,193970,N,
INV-10050,C014,Maple Ridge Hardware,2026-05-01,2026-05-31,Net 30,124060,124060,N,
INV-10051,C014,Maple Ridge Hardware,2026-04-13,2026-05-13,Net 30,139490,139490,N,
INV-10052,C014,Maple Ridge Hardware,2026-03-31,2026-04-30,Net 30,273910,273910,N,
INV-10053,C015,Lakeshore Components,2026-04-19,2026-05-19,Net 30,307880,307880,N,
INV-10054,C015,Lakeshore Components,2026-04-07,2026-05-07,Net 30,150100,150100,N,
INV-10055,C015,Lakeshore Components,2026-03-26,2026-04-25,Net 30,156660,156660,N,
INV-10056,C016,Vanguard Metalworks,2026-05-06,2026-06-20,Net 45,142820,142820,N,
INV-10057,C016,Vanguard Metalworks,2026-05-02,2026-06-16,Net 45,133850,133850,N,
INV-10058,C016,Vanguard Metalworks,2026-03-29,2026-05-13,Net 45,120890,120890,Y,Quantity mismatch on receipt
INV-10059,C016,Vanguard Metalworks,2026-03-23,2026-05-07,Net 45,175320,175320,N,
INV-10060,C016,Vanguard Metalworks,2026-03-12,2026-04-26,Net 45,237440,237440,N,
INV-10061,C016,Vanguard Metalworks,2026-02-25,2026-04-11,Net 45,113100,113100,N,
INV-10062,C017,Ironclad Supply Co,2026-04-15,2026-05-15,Net 30,72490,72490,N,
INV-10063,C017,Ironclad Supply Co,2026-04-14,2026-05-14,Net 30,81470,81470,N,
INV-10064,C017,Ironclad Supply Co,2026-04-10,2026-05-10,Net 30,126280,126280,N,
INV-10065,C017,Ironclad Supply Co,2026-03-27,2026-04-26,Net 30,138670,138670,N,
INV-10066,C017,Ironclad Supply Co,2026-03-27,2026-04-26,Net 30,86380,86380,N,
INV-10067,C018,Summit Crest Trading,2026-05-03,2026-06-02,Net 30,94210,94210,N,
INV-10068,C018,Summit Crest Trading,2026-04-18,2026-05-18,Net 30,100030,100030,N,
INV-10069,C018,Summit Crest Trading,2026-03-27,2026-04-26,Net 30,61660,61660,N,
INV-10070,C018,Summit Crest Trading,2026-02-28,2026-03-30,Net 30,99900,99900,N,
INV-10071,C019,Delta Bay Wholesale,2026-05-01,2026-05-31,Net 30,63220,63220,N,
INV-10072,C019,Delta Bay Wholesale,2026-04-29,2026-05-29,Net 30,65810,65810,N,
INV-10073,C019,Delta Bay Wholesale,2026-04-14,2026-05-14,Net 30,25990,25990,N,
INV-10074,C019,Delta Bay Wholesale,2026-03-28,2026-04-27,Net 30,53510,53510,N,
INV-10075,C019,Delta Bay Wholesale,2026-03-25,2026-04-24,Net 30,61230,61230,N,
INV-10076,C019,Delta Bay Wholesale,2026-03-18,2026-04-17,Net 30,69250,69250,N,
INV-10077,C019,Delta Bay Wholesale,2026-03-08,2026-04-07,Net 30,45780,45780,N,
INV-10078,C019,Delta Bay Wholesale,2026-02-11,2026-03-13,Net 30,32120,32120,N,
INV-10079,C020,Pinewood Industrial,2026-04-20,2026-05-20,Net 30,66730,66730,N,
INV-10080,C020,Pinewood Industrial,2026-04-19,2026-05-19,Net 30,95480,95480,N,
INV-10081,C020,Pinewood Industrial,2026-04-17,2026-05-17,Net 30,68260,68260,N,
INV-10082,C020,Pinewood Industrial,2026-04-16,2026-05-16,Net 30,51920,51920,N,
INV-10083,C020,Pinewood Industrial,2026-03-31,2026-04-30,Net 30,59970,59970,N,
INV-10084,C020,Pinewood Industrial,2026-03-24,2026-04-23,Net 30,149040,149040,N,
INV-10085,C020,Pinewood Industrial,2026-03-24,2026-04-23,Net 30,73760,73760,N,
INV-10086,C020,Pinewood Industrial,2026-03-12,2026-04-11,Net 30,74600,74600,N,
INV-10087,C021,Crossroads Distributors,2026-04-28,2026-05-28,Net 30,54590,54590,N,
INV-10088,C021,Crossroads Distributors,2026-04-26,2026-05-26,Net 30,75440,75440,N,
INV-10089,C021,Crossroads Distributors,2026-04-04,2026-05-04,Net 30,42560,42560,N,
INV-10090,C021,Crossroads Distributors,2026-03-20,2026-04-19,Net 30,57390,57390,N,
INV-10091,C021,Crossroads Distributors,2026-03-15,2026-04-14,Net 30,40560,40560,N,
INV-10092,C021,Crossroads Distributors,2026-03-04,2026-04-03,Net 30,42240,42240,N,
INV-10093,C021,Crossroads Distributors,2026-03-02,2026-04-01,Net 30,37340,37340,N,
INV-10094,C022,Harbor Point Mfg,2026-05-02,2026-06-16,Net 45,49420,49420,N,
INV-10095,C022,Harbor Point Mfg,2026-04-26,2026-06-10,Net 45,70370,70370,N,
INV-10096,C022,Harbor Point Mfg,2026-04-06,2026-05-21,Net 45,45200,45200,N,
INV-10097,C022,Harbor Point Mfg,2026-03-23,2026-05-07,Net 45,67160,67160,N,
INV-10098,C022,Harbor Point Mfg,2026-03-23,2026-05-07,Net 45,83910,83910,N,
INV-10099,C022,Harbor Point Mfg,2026-03-15,2026-04-29,Net 45,83320,83320,Y,Short shipment claim
INV-10100,C022,Harbor Point Mfg,2026-03-09,2026-04-23,Net 45,73830,73830,N,
INV-10101,C022,Harbor Point Mfg,2026-03-04,2026-04-18,Net 45,58800,58800,N,
INV-10102,C023,Redwood Hollow Co,2026-03-30,2026-05-14,Net 45,149880,149880,N,
INV-10103,C023,Redwood Hollow Co,2026-03-27,2026-05-11,Net 45,126360,126360,N,
INV-10104,C023,Redwood Hollow Co,2026-03-14,2026-04-28,Net 45,69590,69590,N,
INV-10105,C023,Redwood Hollow Co,2026-03-01,2026-04-15,Net 45,148350,148350,N,
INV-10106,C023,Redwood Hollow Co,2026-02-18,2026-04-04,Net 45,87770,46340,Y,Quantity mismatch on receipt
INV-10107,C023,Redwood Hollow Co,2026-01-23,2026-03-09,Net 45,105530,105530,N,
INV-10108,C024,Stonebridge Parts,2026-04-14,2026-05-29,Net 45,171680,171680,N,
INV-10109,C024,Stonebridge Parts,2026-03-27,2026-05-11,Net 45,83030,83030,N,
INV-10110,C024,Stonebridge Parts,2026-03-05,2026-04-19,Net 45,119570,119570,N,
INV-10111,C024,Stonebridge Parts,2026-03-01,2026-04-15,Net 45,90360,90360,N,
INV-10112,C024,Stonebridge Parts,2026-02-28,2026-04-14,Net 45,110700,110700,N,
INV-10113,C024,Stonebridge Parts,2026-02-19,2026-04-05,Net 45,137720,137720,N,
INV-10114,C024,Stonebridge Parts,2026-02-17,2026-04-03,Net 45,119140,119140,Y,Pricing discrepancy vs. PO
INV-10115,C025,Eastgate Materials,2026-04-30,2026-05-30,Net 30,114760,114760,N,
INV-10116,C025,Eastgate Materials,2026-03-26,2026-04-25,Net 30,95850,95850,N,
INV-10117,C025,Eastgate Materials,2026-03-25,2026-04-24,Net 30,112530,112530,N,
INV-10118,C025,Eastgate Materials,2026-03-12,2026-04-11,Net 30,206390,206390,N,
INV-10119,C025,Eastgate Materials,2026-03-07,2026-04-06,Net 30,194030,194030,N,
INV-10120,C025,Eastgate Materials,2026-02-11,2026-03-13,Net 30,186860,186860,N,
INV-10121,C026,Clearwater Industrial,2026-05-07,2026-06-06,Net 30,33380,33380,N,
INV-10122,C026,Clearwater Industrial,2026-05-04,2026-06-03,Net 30,44930,44930,N,
INV-10123,C026,Clearwater Industrial,2026-04-30,2026-05-30,Net 30,65200,65200,N,
INV-10124,C026,Clearwater Industrial,2026-04-10,2026-05-10,Net 30,56880,56880,N,
INV-10125,C026,Clearwater Industrial,2026-04-10,2026-05-10,Net 30,40490,40490,N,
INV-10126,C026,Clearwater Industrial,2026-03-12,2026-04-11,Net 30,67460,67460,N,
