invoice_id,customer_id,customer_name,invoice_date,due_date,payment_terms,invoice_amount,open_balance,dispute_flag,dispute_reason
INV-10001,C001,Cascade Industrial Group,2026-04-27,2026-06-26,Net 60,129070,129070,N,
INV-10002,C001,Cascade Industrial Group,2026-04-19,2026-06-18,Net 60,88240,88240,N,
INV-10003,C001,Cascade Industrial Group,2026-04-15,2026-06-14,Net 60,130370,130370,N,
INV-10004,C001,Cascade Industrial Group,2026-03-09,2026-05-08,Net 60,124660,124660,N,
INV-10005,C001,Cascade Industrial Group,2026-03-03,2026-05-02,Net 60,127700,127700,N,
INV-10006,C001,Cascade Industrial Group,2026-03-02,2026-05-01,Net 60,119470,119470,N,
INV-10007,C002,Northwind Manufacturing,2026-05-11,2026-06-25,Net 45,145700,145700,N,
INV-10008,C002,Northwind Manufacturing,2026-04-24,2026-06-08,Net 45,96710,96710,N,
INV-10009,C002,Northwind Manufacturing,2026-04-23,2026-06-07,Net 45,94390,94390,N,
INV-10010,C002,Northwind Manufacturing,2026-04-15,2026-05-30,Net 45,154190,154190,N,
INV-10011,C002,Northwind Manufacturing,2026-04-13,2026-05-28,Net 45,103330,103330,N,
INV-10012,C002,Northwind Manufacturing,2026-04-12,2026-05-27,Net 45,135310,135310,N,
INV-10013,C003,Sterling Components Corp,2026-05-04,2026-06-18,Net 45,86740,86740,N,
INV-10014,C003,Sterling Components Corp,2026-04-30,2026-06-14,Net 45,90700,90700,N,
INV-10015,C003,Sterling Components Corp,2026-04-18,2026-06-02,Net 45,54080,54080,N,
INV-10016,C003,Sterling Components Corp,2026-04-05,2026-05-20,Net 45,93040,93040,N,
INV-10017,C003,Sterling Components Corp,2026-03-17,2026-05-01,Net 45,87430,87430,N,
INV-10018,C003,Sterling Components Corp,2026-03-10,2026-04-24,Net 45,86960,86960,N,
INV-10019,C004,Pacifica Materials Co,2026-04-25,2026-06-09,Net 45,154700,154700,N,
INV-10020,C004,Pacifica Materials Co,2026-04-03,2026-05-18,Net 45,73890,73890,N,
INV-10021,C004,Pacifica Materials Co,2026-03-29,2026-05-13,Net 45,61560,61560,N,
INV-10022,C004,Pacifica Materials Co,2026-03-28,2026-05-12,Net 45,148050,148050,N,
