invoice_id,customer_id,customer_name,invoice_date,due_date,payment_terms,invoice_amount,open_balance,dispute_flag,dispute_reason
INV-10001,C001,Cascade Industrial Group,2026-04-14,2026-05-29,Net 45,75440,75440,N,
INV-10002,C001,Cascade Industrial Group,2026-04-05,2026-05-20,Net 45,95260,95260,N,
INV-10003,C001,Cascade Industrial Group,2026-04-01,2026-05-16,Net 45,134490,134490,N,
INV-10004,C002,Northwind Manufacturing,2026-04-28,2026-06-27,Net 60,42690,42690,N,
INV-10005,C002,Northwind Manufacturing,2026-04-15,2026-06-14,Net 60,24830,24830,N,
INV-10006,C002,Northwind Manufacturing,2026-03-23,2026-05-22,Net 60,69370,69370,N,
INV-10007,C002,Northwind Manufacturing,2026-03-16,2026-05-15,Net 60,71110,71110,N,
INV-10008,C002,Northwind Manufacturing,2026-03-15,2026-05-14,Net 60,25830,25830,N,
INV-10009,C002,Northwind Manufacturing,2026-03-10,2026-05-09,Net 60,62900,62900,N,
INV-10010,C003,Sterling Components Corp,2026-04-27,2026-06-26,Net 60,25950,25950,N,
INV-10011,C003,Sterling Components Corp,2026-04-07,2026-06-06,Net 60,33330,33330,N,
INV-10012,C003,Sterling Components Corp,2026-04-03,2026-06-02,Net 60,51660,51660,N,
INV-10013,C003,Sterling Components Corp,2026-03-29,2026-05-28,Net 60,41210,41210,N,
INV-10014,C003,Sterling Components Corp,2026-03-11,2026-05-10,Net 60,56780,56780,N,
INV-10015,C004,Pacifica Materials Co,2026-04-16,2026-06-15,Net 60,145440,145440,N,
INV-10016,C004,Pacifica Materials Co,2026-03-10,2026-05-09,Net 60,165440,165440,N,
INV-10017,C004,Pacifica Materials Co,2026-02-25,2026-04-26,Net 60,91660,91660,N,
INV-10018,C005,Granite Peak Industries,2026-03-28,2026-05-27,Net 60,103670,103670,N,
INV-10019,C005,Granite Peak Industries,2026-03-13,2026-05-12,Net 60,119100,119100,N,
INV-10020,C005,Granite Peak Industries,2026-02-26,2026-04-27,Net 60,166840,166840,N,
INV-10021,C006,Birch & Hollow Supply,2026-04-29,2026-05-29,Net 30,26360,10600,Y,Quantity mismatch on receipt
INV-10022,C006,Birch & Hollow Supply,2026-04-14,2026-05-14,Net 30,16160,16160,N,
INV-10023,C006,Birch & Hollow Supply,2026-04-13,2026-05-13,Net 30,18710,18710,N,
INV-10024,C007,Cedar Valley Distribution,2026-04-27,2026-05-27,Net 30,23350,23350,N,
INV-10025,C007,Cedar Valley Distribution,2026-04-26,2026-05-26,Net 30,22970,22970,N,
INV-10026,C008,Riverstone Packaging,2026-04-26,2026-05-26,Net 30,20740,20740,N,
INV-10027,C008,Riverstone Packaging,2026-04-16,2026-05-16,Net 30,10270,10270,N,
INV-10028,C008,Riverstone Packaging,2026-03-27,2026-04-26,Net 30,11810,11810,N,
INV-10029,C009,Halcyon Tool Works,2026-05-11,2026-06-10,Net 30,14940,14940,N,
INV-10030,C009,Halcyon Tool Works,2026-04-30,2026-05-30,Net 30,15310,15310,N,
INV-10031,C009,Halcyon Tool Works,2026-04-17,2026-05-17,Net 30,19040,19040,N,
INV-10032,C010,Brightline Logistics,2026-05-03,2026-06-02,Net 30,15700,15700,N,
INV-10033,C010,Brightline Logistics,2026-05-02,2026-06-01,Net 30,9120,9120,N,
INV-10034,C010,Brightline Logistics,2026-04-12,2026-05-12,Net 30,19590,19590,N,
INV-10035,C010,Brightline Logistics,2026-03-27,2026-04-26,Net 30,13910,13910,N,
INV-10036,C011,Copperfield Equipment,2026-05-10,2026-06-09,Net 30,62510,62510,N,
INV-10037,C011,Copperfield Equipment,2026-04-05,2026-05-05,Net 30,40250,40250,N,
INV-10038,C012,Aspen Grove Products,2026-04-21,2026-05-21,Net 30,12790,12790,N,
INV-10039,C012,Aspen Grove Products,2026-04-13,2026-05-13,Net 30,21650,21650,N,
INV-10040,C012,Aspen Grove Products,2026-04-10,2026-05-10,Net 30,14170,14170,N,
INV-10041,C012,Aspen Grove Products,2026-04-09,2026-05-09,Net 30,9700,9700,N,
INV-10042,C012,Aspen Grove Products,2026-04-04,2026-05-04,Net 30,18380,18380,N,
INV-10043,C013,Tidewater Fabrication,2026-05-08,2026-06-07,Net 30,9220,9220,N,
INV-10044,C013,Tidewater Fabrication,2026-05-03,2026-06-02,Net 30,9880,9880,N,
INV-10045,C013,Tidewater Fabrication,2026-04-28,2026-05-28,Net 30,9690,9690,N,
